name,hostname,IC,disposition,period,rade,rade_est,radj,radj_est,masse,masse_est,massj,massj_est,tran_depth_ppm,tran_dur_hr,semi_au,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,,Confirmed,,,13.947315965612418,,1.244185188725461,250.0,,0.7865840229053268,,,,3.4,,,2020,2020.0,Microlensing,OGLE,0.1,,,,,,265.597125,-33.7597778,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-2016-BLG-1227L
GJ 480 b,GJ 480,,Confirmed,9.567,,3.694179938202094,,0.32954325942926793,13.2,,0.04153163640940125,,,,0.068,5.284235624338173,14.2358,2020,2020.0,Radial Velocity,Multiple Observatories,0.45,0.46,3381.0,-1.612,7.581,6.691,189.7134226,11.6950708,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 480
Kepler-276 c,Kepler-276,,Confirmed,31.884,2.5227184466019414,,0.2250417882784961,,16.6,,0.0522291791209137,,910.0,5.099,0.19145652462378193,24.59572663965265,1151.4,2011,2013.0,Transit,Kepler,0.921,0.896,5930.6,-0.045,14.234,13.838,293.568197,39.0363123,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-276
Kepler-829 b,Kepler-829,,Confirmed,6.88337562,2.399309278350515,,0.21403294186891303,,,6.343859228030921,,0.019959913249318572,458.4,2.2442,0.06895037629957992,222.29347684301837,1065.6,2011,2016.0,Transit,Kepler,0.923,1.103,5564.0,0.024,13.699,13.29,282.3328312,42.4638125,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-829
K2-283 b,K2-283,,Confirmed,1.921036,3.468487804878049,,0.30941015208546374,,,11.860198906599205,,0.03731617187364064,1967.0000000000002,1.7496,0.031546950455163834,348.2837665663049,402.92,2018,2018.0,Transit,K2,1.135,0.808,4927.0,-0.460152,12.579,11.983,13.1943679,9.6929181,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-283
Kepler-477 b,Kepler-477,,Confirmed,11.11990653,3.256974683544304,,0.2905418986212581,,,10.658557754188868,,0.03353540494663458,636.3000000000001,3.3296,0.09177503008373522,137.89576513483658,575.6,2011,2016.0,Transit,Kepler,0.834,1.243,5354.1,0.065,12.274,11.729,288.067445,42.355305,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-477
HAT-P-15 b,HAT-P-15,,Confirmed,10.8635,11.882,,1.0599464763603923,,616.5902,,1.94,,10000.0,5.484,0.0965,107.38543316599103,192.516,2010,2010.0,Transit,HATNet,1.0,1.07,5568.0,0.0,10.194,9.641,66.248142,39.460602,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-15
HD 149143 b,HD 149143,,Confirmed,4.07182,,13.628684966562838,,1.215761370790619,422.7139,,1.33,,,,0.053,796.9815374041793,73.2801,2005,2005.0,Radial Velocity,Haute-Provence Observatory,1.2,1.44,5856.0,0.35,6.759,6.434,248.2126715,2.0844547,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 149143
HD 210702 b,HD 210702,,Confirmed,354.1,,13.445801459562407,,1.199447052592543,574.63664,,1.8080000000000003,,,,1.148,10.693410130190628,54.1963,2007,2007.0,Radial Velocity,Lick Observatory,1.61,4.92,4951.0,1.149,4.508,3.984,332.9638643,16.0404806,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 210702
HIP 12961 b,HIP 12961,,Confirmed,57.435,,13.181200371447543,,1.175843030459192,114.4188,,0.36000000000000004,,,,0.25,1.5889856774734945,23.371,2010,2010.0,Radial Velocity,La Silla Observatory,0.69,0.65,3901.0,-1.003,7.558,6.736,41.6800749,-23.0860048,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HIP 12961
XO-5 b,XO-5,,Confirmed,4.1877558,12.78,,1.1400535236396074,,378.2,,1.1899443098511784,,10800.0,3.1176,0.0515,328.3866867588202,276.211,2008,2008.0,Transit,XO,1.04,1.13,5430.0,-0.06,10.774,10.345,116.7163868,39.0944695,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/XO-5
HD 5608 b,HD 5608,,Confirmed,779.9,,13.488959339090439,,1.2032969972426795,534.27223,,1.6810000000000003,,,,1.911,4.13502963006086,58.1105,2012,2012.0,Radial Velocity,Okayama Astrophysical Observatory,1.53,5.14,4877.0,1.179,4.478,3.826,14.5594349,33.9505774,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 5608
HD 95872 b,HD 95872,,Confirmed,4375.0,,13.022581210678165,,1.1616932391327532,1188.6842,,3.7399999999999998,,,,5.15,0.02159660782301175,72.2195,2015,2015.0,Radial Velocity,Multiple Facilities,0.7,0.84,5312.0,-0.242,8.406,7.956,165.8658796,-22.0943303,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 95872
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,,Confirmed,,,4.8560948918286515,,0.4331931214833766,21.0,,0.06607305792404745,,,,2.7,,3300.0,2016,2016.0,Microlensing,OGLE,0.38,,,,,,268.75425,-29.0471111,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-2015-BLG-0966L
WASP-123 b,WASP-123,,Confirmed,2.9776412,14.773,,1.3178412132024977,,285.72917,,0.8990000000000001,,11100.000000000002,3.0936,0.04263,799.0414977089257,197.996,2016,2016.0,Transit,SuperWASP,1.17,1.28,5740.0,0.162,9.799,9.362001,289.4792124,-32.8601244,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-123
tau Cet e,tau Cet,,Confirmed,162.87,,1.809660938152113,,0.16143273310901987,3.93,,0.012365100840071738,,,,0.538,1.7117307348046262,3.60304,2017,2017.0,Radial Velocity,Multiple Observatories,0.78,0.83,5310.0,-0.305,2.149,1.794,26.0093029,-15.9337987,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/tau Cet
K2-254 c,K2-254,,Confirmed,12.11839,2.235761194029851,,0.19944346066278776,,,5.627270816564638,,0.017705285267484626,1200.0,2.4,0.09604991930538834,16.149905719465472,227.78,2018,2018.0,Transit,K2,0.805,0.684,4336.0,-0.826836,11.986,11.296,185.5507926,-4.7172908,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-254
HD 26965 b,HD 26965,,Confirmed,42.378,,2.8446139054262454,,0.2537568158274973,8.47,,0.026649466696032475,,,,0.21897452829981232,9.53263141365475,5.03545,2018,2018.0,Radial Velocity,Multiple Observatories,0.78,0.87,5072.0,-0.34,3.013,2.498,63.8082666,-7.6676027,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 26965
EPIC 220554210 c,K2-282,,Confirmed,0.70531,1.3613069306930694,,0.12143683592266451,,,2.4236811011120922,,0.007625715323009446,262.0,1.704,0.015249255020819296,3024.257352669312,496.29,2019,2019.0,Transit,K2,0.951,0.929,5484.0,-0.152884,12.437,12.002,13.4321524,7.9952914,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-282
NSVS 14256825 b,NSVS 14256825,,Confirmed,3225.0,,12.282029652901281,,1.095631547984057,4497.2945,,14.15,,,,3.12,9.675887538244178,820.877,2019,2019.0,Eclipse Timing Variations,Multiple Observatories,0.42,0.19,40000.0,1.974,13.658,13.945,305.001946,4.6323715,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/NSVS 14256825
Kepler-1390 b,Kepler-1390,,Confirmed,6.48021673,1.1366530612244898,,0.10139634801288935,,,1.5380902292480114,,0.004839348800453109,142.0,3.211,0.06687071753555682,173.19208214989192,721.8,2014,2016.0,Transit,Kepler,0.95,0.944,5565.5,-0.111,13.178,12.764,298.6624419,48.2488659,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1390
Kepler-393 c,Kepler-393,,Confirmed,14.613612,1.4466159420289855,,0.1290469172193564,,,2.68715327588693,,0.008454687335641475,74.6,5.401,0.12861209206907626,218.99610693804283,877.8,2013,2014.0,Transit,Kepler,1.329,1.501,6505.2,0.559,12.325,11.995,290.995205,45.192188,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-393
Kepler-263 c,Kepler-263,,Confirmed,47.332773,2.3042911392405063,,0.20555674747908173,,,5.923237789022774,,0.018636496834857547,975.5,3.069,0.2361285031228278,6.481912616440351,769.3,2014,2014.0,Transit,Kepler,0.784,0.737,5205.2,-0.442,13.994,13.548,292.4698022,37.5677941,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-263
Kepler-1431 b,Kepler-1431,,Confirmed,5.86601526,1.8467766990291263,,0.1647436841239185,,,4.067825232238784,,0.01279874534260071,183.0,3.978,0.06657419053215702,389.3930634013264,1602.4,2014,2016.0,Transit,Kepler,1.144,1.294,5808.6,0.237,14.098,13.756,292.6583919,49.8651522,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1431
Kepler-237 c,Kepler-237,,Confirmed,8.103636,2.212888888888889,,0.19740311230052532,,,5.529881225475659,,0.01739886488209313,887.9,3.15,0.0728667209198766,61.65120187812981,658.0,2011,2014.0,Transit,Kepler,0.786,0.766,4979.8,-0.485,13.749,13.172,283.2213438,40.421762,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-237
Kepler-1510 b,Kepler-1510,,Confirmed,84.703921,3.4755,,0.31003568242640495,,,11.900936621229084,,0.0374443464154708,655.7,10.447,0.3945416033876636,16.361171222361236,1666.0,2015,2016.0,Transit,Kepler,1.142,1.324,6331.8,0.406,14.076,13.728,298.9591432,48.2578295,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1510
Kepler-169 e,Kepler-169,,Confirmed,13.767102,2.1710526315789473,,0.19367106436921921,,,5.353556164101828,,0.016844086977635304,684.8,2.912,0.10400922046989042,26.41534682086335,408.3,2011,2014.0,Transit,Kepler,0.792,0.75,4868.0,-0.544,12.729,12.186,285.9999204,40.9193822,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-169
Kepler-145 c,Kepler-145,,Confirmed,42.882,4.2779675675675675,,0.3816206572317188,,79.4,,0.2498190856747318,,408.90000000000003,9.7471,0.2682858870522166,72.0782684285691,565.3,2011,2013.0,Transit,Kepler,1.401,1.832,6428.6,0.715,10.913,10.628,291.3877397,44.5290465,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-145
Kepler-219 c,Kepler-219,,Confirmed,22.714613,2.80393288590604,,0.25012782211472256,,,8.265373871897559,,0.026005644123895034,568.6,5.808,0.1668474824184085,59.478592681452554,787.8,2011,2014.0,Transit,Kepler,1.201,1.167,6050.7,0.219,12.678,12.389,288.7389481,46.7625929,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-219
Kepler-910 b,Kepler-910,,Confirmed,2.36436901,0.82,,0.07314897413024085,,,0.4771859443887398,,0.00150138735924469,28.8,3.2852,0.037584098536109986,2084.4511605655225,399.2,2013,2016.0,Transit,Kepler,1.267,1.5,6164.5,0.469,10.626,10.329,296.0472937,42.7429414,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-910
Kepler-1037 b,Kepler-1037,,Confirmed,1.06378867,1.2996923076923077,,0.11594043779592396,,,2.2403894141807617,,0.007049018073123248,265.8,1.0764,0.019295963603424417,990.9849465563572,449.3,2014,2016.0,Transit,Kepler,0.847,0.792,5049.8,-0.433,12.821,12.248,296.3410342,47.1709335,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1037
