,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
0,231663901,101.01,,5,5,5,5,5,5,5,94.0,218.0,0,0,3,KP,KP,12.4069,0.006,,1,spoc,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2459036.904104,0.000393,1.430343,4e-05,1.637794,0.026852,21.90892,0.260952,19976.630024,240.31696,13.576368,0.683587,1281.272865,1525.914348,78.23216,375.31,4.411,5600.0,,4.48851,,0.890774,0.043847,,,27,2018-09-05,2020-09-18,2021-06-01 12:02:45,WASP-46 b
1,149603524,102.01,,5,5,5,5,5,5,5,139.0,149.7,1,2,1,KP,KP,9.7109,0.006,,1,spoc,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2459309.941133,0.000201,4.411869,6.8e-05,3.765322,0.016264,15.257948,0.0731,13954.806031,67.325096,14.617671,0.655605,673.803949,1299.430743,183.5356,175.631,0.588,6280.0,,4.32092,,1.21427,0.054221,0.24,0.05,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37",2018-09-05,2021-07-01,2021-07-13 12:04:39,WASP 62 b
2,336732616,103.01,,5,5,5,5,5,5,5,54.7,136.1,0,0,4,KP,KP,11.5232,0.008,,1,spoc,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,92.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1,2018-09-05,2020-10-27,2021-06-01 12:02:45,HATS-3
3,231670397,104.01,,5,5,5,5,5,5,5,58.1,123.1,1,0,2,KP,KP,9.8638,0.006,,1,spoc,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.000955,4.087493,0.00032,5.602984,0.075253,3.826381,0.051854,3518.024086,47.758137,13.667798,0.670757,2242.218597,1755.048963,34.222645,316.678,2.9655,6036.0,,3.93359,,2.21867,0.102573,,,"1,27",2018-09-05,2020-09-18,2021-06-01 12:02:45,WASP-73
4,144065872,105.01,,5,5,5,5,5,5,5,207.7,449.0,1,3,0,KP,KP,9.4995,0.006,,1,qlp,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18467,0.0,2.718,0.014,12.448485,7.7e-05,11400.0,0.071095,14.167,0.68399,998.015,1565.0,9.0,137.544,0.7905,5630.0,,4.37759,,1.24,0.06,,,"1,28",2018-09-05,2020-11-09,2021-06-01 12:02:45,WASP-95
5,38846515,106.01,,5,5,5,5,5,5,5,88.6,95.7,1,0,3,KP,KP,10.3157,0.006,,1,spoc,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2459309.781185,0.000447,2.849535,9.8e-05,3.760864,0.034719,7.891853,0.061151,7242.312292,56.320515,15.822209,0.718955,2935.459795,1877.322061,124.24465,364.411,2.729,6900.0,,4.438,,1.77457,0.0795,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37",2018-09-05,2021-07-01,2021-07-13 12:04:39,WASP-100b
6,92352620,107.01,,5,5,5,5,5,5,5,190.6,237.5,0,1,2,KP,KP,9.6433,0.006,,1,spoc,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2459039.335846,0.000386,3.949959,0.000128,4.552883,0.028823,14.009334,0.100987,12820.185499,93.008575,19.729856,0.869864,1364.201304,1550.027362,131.48947,211.211,2.4835,6153.0,,4.18077,,1.71036,0.074613,0.22,0.1,"1,27",2018-09-05,2020-09-18,2021-06-01 12:02:45,WASP-94A (planet host)
7,289793076,108.01,,5,5,5,5,5,5,5,44.8,113.2,0,0,4,KP,KP,13.163,0.01,,1,spoc,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.084864,0.000922,3.044616,0.000308,2.561663,0.099007,23.639619,0.907821,21537.575209,835.78503,11.916674,0.456252,315.909422,1075.252335,20.395718,421.855,8.339,5523.0,,4.52192,,0.809868,,,,"1,28",2018-09-05,2020-10-05,2021-06-01 12:02:45,HATS-13
8,29344935,109.01,,5,5,5,5,5,5,5,40.6,89.0,0,0,3,KP,KP,13.2366,0.007,,1,spoc,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127529,0.001296,2.766764,0.00027,2.643398,0.116306,17.236283,0.546449,15749.856668,503.17117,12.499106,0.530989,505.883054,1209.573553,17.233343,513.011,9.1275,5346.0,,4.48823,,0.984866,,,,"1,28",2018-09-05,2020-10-01,2021-06-01 12:02:45,HATS-14
9,281459670,110.01,,5,5,5,5,5,5,5,79.9,76.4,0,0,1,KP,KP,11.6714,0.006,,1,spoc,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040464,0.000446,3.174166,0.00018,2.678868,0.062373,17.156276,0.355732,15677.324772,327.5873,14.755899,0.867575,718.965491,1320.677445,35.681557,342.14,2.912,5943.0,,4.42524,,1.15706,0.063367,-0.1,0.1,"1,2,28,29",2018-09-05,2020-11-06,2021-06-01 12:02:45,HATS-30
